salary,company,jobname,jobcont,jobid
50000-69999/月,广州尚宸企业管理顾问有限公司,大数据专家 - 银行 (Big data Lead),"职位描述：Role and responsibilities:·        Lead the design and implementation of the ingest framework to support big data projects with a focus on collecting, parsing, and managing large sets of data from sources using batch and streaming patterns from systems in the bank.·        Act as a technical design authority for the engineering team reporting to the Head of Data Engineering for GBDS to steer and oversee all engineering work locally.·        Help to shape the functional roadmap for the ingest framework and data management services in the big data platform and determine where to innovate in line with group strategy, pain points, and technology trends·        Drive innovation, technology decisions and solution design that align with Group strategies, business requirements and new technologies emerging in the big data ecosystem·        Maintain an awareness of cutting edge open source developments in big data community specifically driven by Apache and share this knowledge within the team·        Drive maturity of adoption of agile and devops methodologies and frameworks·        Work with senior engineers to review existing process covering the full SDLC to identify the improvement areas·        Contribute to solutions to improve processes whilst ensuring consistency with group standards, and develop frameworks to facilitate the improvements when necessary·        Provide support to  big data platform and should be able to work with the latest Hadoop frameworksProvide direction and mentoring to project teams and assist senior engineers / team leaders to build up a high quality culture in teamJob requirements:Essential·        Strong understanding of Big Data / Hadoop, RDBMS, Data Warehousing / Data Integration, Data Engineering and Data Science (awareness) and Software Development·        Bachelors/Masters degree in computer science or software engineering·        Expert knowledge of big data frameworks (e.g. Hadoop, HDFS, MapReduce, Hive, HBase, Pig, Spark, Kafka)·        Experience in different programming or scripting languages (e.g. Java/Linux/C++/Python/R/Scala)·        Experience in agile development and supporting project management of complex projects·        Experience of architecting highly scalable distributed systems·        Experience of object-orientated design, coding and testing patterns·        Experience in engineering software platforms and large scale data infrastructures·        Experience of developing and deploying: data driven analytics, event driven analytics·        Proficient in designing efficient and robust data pipelines for ETL workflows·        Excellent oral and written communication skills in English and ability to engage with all levels and stakeholders·        Ability to work in distributed teams and collaborate with others to clarify requirementsDesirable·        Ability to tune Hadoop solutions to improve performance and end-user experience·        A track record of constantly looking for ways to do things better and an excellent understanding of the mechanism necessary to successfully implement change·        Knowledge of Machine Learning techniques and Data Science frameworks (e.g. Spark, R, Python)·        Understanding of algorithms and experience building high-performance algorithmsExperience working in relevant environments (i.e. financial services and/or global enterprise scale organisations)职能类别：技术总监/经理系统架构设计师关键字：大数据BigDataHadoopRDBMSDataWarehousingHDFSMapReduceHiveHBasePigSparkKafka举报分享",15
10000-20000/月,广州机智云物联网科技有限公司,大数据工程师,"职位描述：工作内容：1. 负责大数据平台数据及各部门统计分析的需求。2. 负责集群管理和优化工作。3. 负责大数据相关及可视化的研发。职位要求：1. 精通java ,scala,python,shell 编程 至少 1 门编程语言。2. 精通spark 开发，熟悉 hadoop,hive 等开发。3. 熟悉nosql 数据库（hbase,redis,mongodb 等）。4. 对工作认真负责,有极强的学习能力,能够按时完成高质量的开发需求。职能类别：软件工程师举报分享",12
10000-20000/月,广州海晟科技有限公司,数据库工程师,"职位描述：岗位职责：1、 负责大市场数据需求支撑与维护工作，开展专题分析，全面开展“一体两翼”市场运营的数据支撑工作。2、 负责市场部专项数据支撑工作，从事数据分析、数据二次处理，报表设计和实现。3、 负责本地大数据平台ETL调度建设和运维工作。4、协助开展数据建模工作。任职要求：1、本科，数学、计算机、软件、统计相关专业，能力突出可不受专业限制；2、证书：OCP认证、OCM、数据库工程师任意一种证书；3、具备电信运营商精准营销、流数据集市或经营分析相关大数据系统项目优先；4、具备2年及以上NGCRM、NGESOP、GDBOSS、数据集市的后台数据提取工作经验，熟悉上述数据库系统后台表结构。能够迅速理解业务数据需求，并能快速完成数据提取工作，有良好的理解能力和沟通能力；5、精通ORACLE数据库，熟悉unix、linux操作系统，精通Shell 编程、BIEE报表开发，熟悉hbase、spark scala、spark、Nosql,熟悉并能承担ETL调度运维工作。职能类别：其他举报分享",11
25000-29999/月,天睿信科技术（北京）有限公司,数据挖掘工程师,职位描述：1.基于hadoop、spark的数据挖掘；2.对mahout、spark mllib、sparkR比较熟悉，并且在上面做了一些项目；3. 熟悉scala、python、java任意一种即可；4.5年以上 工作经验。工作地点：上海／北京／广州职能类别：高级软件工程师举报分享,10
8000-15000/月,广东天泽阳光康众医疗投资管理有限...,JAVA工程师,职位描述：岗位职责：1、负责公司的系统开发工作。2、主要负责数据支撑平台底层系统架构设计、系统优化、基础组件研发和新技术研究。3、平台数据接口研发及联调，相关技术文档编写，提出技术解决方案。任职资格：1、三年以上Java及互联网应用开发经验，一年以上系统设计经验，并熟悉软件开发流程；2、精通Java语言，熟悉流行的开源Java框架，有Scala、Spring和Dubbo使用经验优先考虑；3、熟练使用Oracle、mysql等数据库系统，有较强的数据库设计和开发能力；4、精通面向对象分析和设计技术，包括设计模式、UML建模等；5、熟悉网络和安全开发，具有设计和开发对外API接口经验和能力优先考虑；6、学习能力强，思维敏捷，喜欢钻研，具备技术突破能力，良好的英文阅读能力；7、工作积极主动，有责任心，具有良好的沟通能力和团队合作精神。职能类别：互联网软件开发工程师手机应用开发工程师关键字：带薪年假奖金丰厚加班补助节日福利立即上岗举报分享,50
500元/天,广州摩赛网络技术有限公司,Spark高级顾问,"职位描述：岗位职责:负责基于Spark的分布式计算平台的开发与优化工作。任职资格：1、  熟悉分布式计算，熟悉Spark框架,熟练掌握RDD编程；2、  熟悉分布式日志收集flume3、  熟悉kafka ,ZooKeeper；4、  熟悉redis；5、有深厚的操作系统，数据结构和算法基础；6、熟练掌握Java或Scala语言；7、5年以上软件开发经验, 熟悉mongodb数据库者优先；8、做事严谨踏实，责任心强，条理清楚，善于学习总结，有良好的团队合作精神和沟通协职能类别：高级软件工程师举报分享",48
8000-16000/月,广州市博汇数码科技有限公司,高级Web 开发工程师(全栈工程师),"职位描述：高级 Web 开发工程师/全栈工程师(3年以上经验）职位描述:工作职责：1. 在具体使用场景中理解用户使用方式和遇到的问题；2. 通过 Web 前/后端开发，解决上述问题，带给用户更好的使用体验；3. 创造自动化工具，帮助工作伙伴提升运营效率。任职条件：1. 曾独立完成包含前端和后端的 Web 项目（个人项目亦可）；2. 能够对全动态站点进行性能优化；3. 熟悉 Unix/Linux 环境；4. 熟悉以下语言中的一种：Java/PHP/Python；5. 熟悉 HTML5/CSS3/jQuery；6. 熟悉至少一种数据库；7. 爱折腾，对新技术充满好奇心；8. 对良好代码风格具有强迫症。优先条件：1. 玩儿过以下语言中的至少一种：Lua/Go/Erlang/Scala/Ruby/R；2. 玩儿过至少一种非关系型数据库:mongo,redis；3. 能使用 HTML/JS/CSS 绘制原生应用级别的界面；职能类别：Web前端开发高级软件工程师举报分享",8
8000-15000/月,广州昊达信息科技有限公司,大数据开发工程师,职位描述：职位描述：1、利用统计分析、机器学习等方法建立数据模型，解决个人与企业金融行为特点分析，发现与监控违法违规行为；2、根据业务和产品情况对数据模型进行设计和开发，对数据模型进行优化；3、负责业务需求的需求理解、数据开发，提供面向业务的数据服务；职位要求：1、计算机相关专业本科以上学历，2年以上数据挖掘研发经验；2、至少做过一个完整的自然语言处理或者分析挖掘模型项目，比如：文本分类、相关性挖掘、行为挖掘、规则挖掘等等；熟悉常用的统计分析及挖掘工具，深入理解分析方法，进行业务建模、变量分析、数据探索、模型建立预测等3、至少熟悉一门开发语言，比如：熟悉java，Scala，Python，R4、熟悉使用MapReduce或Spark，并能进行相关开发优选考虑5、有Hadoop集群的搭建、维护和优化经验；6、做事积极主动，具有高度的责任感与团队合作精神，主动学习新技术，有良好的沟通能力。职能类别：数据库工程师/管理员举报分享,47
10000-14999/月,广东宜教通教育有限公司,数据挖掘算法开发人员,职位描述：1、精通SPARK开源挖掘框架2、熟悉scala、python代码3、具备统计学和数据挖掘算法基础职能类别：软件工程师举报分享,49
10000-20000/月,广东广业开元科技有限公司,高级大数据工程师,职位描述：工作地点：广州天河区金穗路邦华环球广场【带薪年假】+【五险一金】+【包午餐】+【加班包晚餐】【各种补贴福利】岗位职责：1. 应用机器学习、文本挖掘等技术，对海量学习用户数据进行挖掘，发现学习规则，潜在关系，指导业务发展；2. Hadoop、Spark环境的搭建、维护及优化；3. 构建通用的分布式环境下算法平台，包括矩阵计算、变量构造、算法封装，快速支持算法应用；4. 对海量数据的分析处理和数据仓库的设计开发；5. 通过海量学习数据实现用户画像、知识图谱、智能推荐、个性化学习；6. 和业务部门密切配合寻求数据层面的商业价值并组织建设数据模型任职资格：1、本科以上学历，扎实的统计学、数据挖掘、机器学习理论基础；2、熟悉聚类、分类、回归等机器学习算法实现，对常见的核心算法理解透彻，有实际建模经验；3、具有扎实的计算机操作系统、数据结构等编程基础，熟悉Java、Scala、Python、R语言；4、深入理解Map-Reduce模型，对Hadoop、Hive、Spark、Storm等大规模数据存储与运算平台有实践经验；5、有三年以上互联网公司或海量数据处理工作经验，大数据挖掘、分析、建模经验。----------公司简介----------★【广业公司】（全称“广东省广业资产经营有限公司”）是广东省国资委下第二大的国有多元化产业经营集团。（百亿级资产，中国500强，下设15家产业集团，两万人以上规模，旗下多家上市公司）★【广业开元科技】是在省政府和国资委重点关注支持，由广业公司投资千万控股成立的大数据科技公司，不仅拥有雄厚的资本支持，业务更广泛涉及政府、公共服务、大型国企事业单位、科技创新园区等多个高端领域。★核心团队来自于日立信息、杰赛股份、阿里巴巴、华为、汇丰银行、SAP、金山等国际国内一流IT科技公司，以及云计算和大数据领域的国内著名专家、博士后流动工作站组成，90%以上员工为技术工程师。职能类别：高级软件工程师系统工程师关键字：数据分析数据架构大数据数据挖掘数据模型RPythonHadoopSpark举报分享,9
15000-30000/月,广州市触通软件科技股份有限公司,大数据工程师,职位描述：岗位职责：1、 参与大数据平台的设计与开发，解决海量数据面临的挑战；2、 管理、优化并维护Hadoop、Spark等集群，保证集群规模持续、稳定；3、负责HDFS/hive/HBase的功能、性能和扩展，解决并实现业务需求；4、 协助建立数据模型，对数据进行挖掘、优化及统计。任职资格：1、本科生及以上学历，3年及以上相关经验；2、 熟悉Hadoop/HBase/Spark/Storm/Hive，熟悉数据挖掘策略与算法；3、 具备Java/C++/Python/Scala等开发经验。工作环境及公司福利：1、临近中大地铁、中大校园，生活交通便利；2、同行业具有竞争力的职业晋升空间；3、双休，享有5天工作制和法定节假日假期；4、享有五险一金，带薪年假，餐补，节日礼金，免费零食等福利；5、试用期为2个月；6、不定期组织聚餐、旅游等员工活动。职能类别：风险管理/控制关键字：周末双休年终分红带薪年假五险一金节日福利举报分享,45
,北京神州绿盟信息安全科技股份有限...,数据分析研究员（广州）,"职位描述：工作职责：1.互联网基础数据(netflow,dns,流量等)和产品日志的收集与分析；2.安全事件的追踪与分析（网络数据分析和样本分析）。职位要求：1.硕士以上学历，信息安全、计算机科学或计算机网络等相关方向，在数据分析、人工智能、机器学习等相关领域发表过高水平论文优先；2.熟悉scala/java/python/R等编程语言；3.熟悉linux平台上的开发技能；4.熟悉spark/hadoop/elk等大数据处理平台技术；5.熟悉netflow/tcpip/dpi/dns等网络技术；6.了解样本分析/数据挖掘技术者优先考虑；有数据挖掘经验(spark mlib/R packages/scikit-learn)者优先考虑；了解网络安全，熟悉各类安全产品者优先考虑；了解若干主流分布式计算和图计算者优先考虑。职能类别：高级软件工程师举报分享",46
8000-9999/月,广州合敏源信息科技有限公司,算法工程师,"职位描述：任职内容：1.负责大数据数据分析和挖掘相关的算法、分析模型的设计与开发；2.负责研究业务酒店运营数据、点评数据，探索新的数据应用价值；3.采用统计分析/数学建模/数据挖掘等方法，提供有价值的商业数据、模型、算法支持；4.参与内部数据平台建设，推动公司数据价值落地；5.机器学习团队培训和支持其他团队人员。任职条件：1.全日制应用统计/数学/计算机专业等相关专业，硕士或以上学历，也可以是本科学历+***建模竞赛获奖经历；2.2年以上工作经验，参与过信息采集系统，网络爬虫，大数据运营监测或类似项目的开发；3.精通java，掌握Python/R/Scala;4.熟悉统计理论和数据挖掘算法，包括线性模型，朴素贝叶斯，决策数，随机森林，神经网络，推荐算法，聚类算法，SVD，PCA，LDA等;5.熟悉自然语言处理领域当前热点和前沿技术，对自然语言处理有完整的、系统的认识者优先;6.熟悉推荐系统理论及算法，有个性化推荐经验者优先;7.知道Hadoop、Spark及其Spark Mlib ，Spark GraphX;8.富有大胆创新精神，勇于探索、善于突破难关;9.善于沟通，逻辑清晰,正确的工作态度和职业观念。职能类别：信息技术专员关键字：算法工程师举报分享",44
3000-4499/月,有米科技股份有限公司,Python/php研发实习生,"职位描述：岗位职责:- 负责移动广告产品后端开发维护, Golang语言为主任职要求:- 有责任心, 求知欲旺盛, 学习能力强- 熟练使用Python/Java/C++等一种或以上语言- 对于Golang/Node.js/Erlang/Scala等语言, 有研究或使用经验者, 优先- 了解常见并发编程模型- 熟悉MySQL数据库, 了解PostgreSQL加分- 对于常见NoSQL数据库, 有一定了解- 了解网络编程, 熟悉HTTP协议, 有Web开发经验- 熟悉Linux系统, 有Git使用经验- 有Github项目, 有个人技术博客, 加分- 有海量数据处理经验者, 加分职能类别：互联网软件开发工程师手机应用开发工程师关键字：应届毕业生在校生PHPPython举报分享",43
12000-18000/月,汤臣倍健股份有限公司,大数据技术主管,职位描述：岗位职责:1.	负责集团大数据项目技术架构设计和完善；2.	负责集团大数据业务需求开发管理；3.	负责集团大数据管理体系建设和执行；4.	负责集团内部和外部的数据采集和应用。任职资格:1.	本科以上学历，计算机、数学等相关专业，5年以上相关工作经验；2.	精通大数据平台技术架构设计和Hadoop体系相关技术，熟悉Hortonworks发行版本的大数据平台；3.	精通Java、Scala、Python等编程语言，熟悉业界主流的大数据开发技术，包括MapReduce、Spark、Hive、HBase、Flume、Storm、Kafka等；4.	熟悉Hadoop集群安装、部署、升级和优化；5.	熟悉网络爬虫和文本挖据技术优先，熟悉电商平台数据采集和应用优先。职能类别：信息技术经理/主管项目主管举报分享,41
15000-19999/月,广州市建明信息科技有限公司,大数据开发工程师,职位描述：职位描述：工作职责：1. 负责产品的数据处理、抽取、清洗、转换工作；2. 对产品的各环节性能进行优化；3. 应用先进的统计建模、数据挖掘、机器学习方法建立数据模型解决实际问题。任职资格：1. 本科以上学历，有2以上年大数据开发经验；2. 扎实的编程基础，较强的工程实现能力，有Linux下的开发经验，熟悉java/c++/c/scala/python，至少能用其中一种coding；3. 了解技术框架：hadoop/oozie/sqoop，以及kafka/zookeeper/flume；4. 熟悉以下存储：hive/hbase/redis/solr/mongodb/mysql。5. 具有良好的沟通表达能力，有一定的用户需求分析和理解能力职能类别：数据库工程师/管理员算法工程师关键字：数据开发大数据BI算法工程师数据挖掘高级软件开发举报分享,40
8000-9999/月,广州联客信息科技有限公司,java开发工程师,职位描述：1、2年以上相关工作经验2、熟练使用Java技术，有良好的面向对象编程基础；3、熟悉Javascript、HTML、CSS技术，有移动终端HTML5开发经验；4、熟悉React、Augularjs等开发框架者优先4、熟练掌握至少一种Javascript库，jQuery优先；5、了解Groovy/Scala/Clojure，有函数式编程开发经验更佳；6、具备良好的服务意识、责任心、较强的学习能力、优秀的团队沟通与协作能力、能承受一定的工作压力。职能类别：高级软件工程师关键字：java开发软件工程师Web工程师SpringGrails举报分享,42
10000-14999/月,蓝盾信息安全技术股份有限公司,算法工程师,职位描述：岗位职责：1、 参与技术算法分析研究；2、 负责产品算法研究、开发和实现；3、 负责算法的系统集成及测试；4、 编写相关技术文档和报告。任职要求：1、计算机软件工程或计算数学等相关专业全日制统招专科及以上学历，精通JAVA、Scala中的至少一门编程语言和数值分析等基础，熟悉算法计算误差的处理，算法效率的优化等；2、在机器学习、海量数据分析挖掘、分布式计算等 一个或多个算法领域有扎实的理论基础和丰富的研发经验，对算法原理及应用有较深入的理解，能熟练运用Scala语言与Spark平台对接者优先；3、掌握决策树、K-均值聚类、支持向量机（SVM）、关联规则Apriori、最大期望（EM）、搜索排名PageRank、AdaBoost迭达分类、贝叶斯等数据挖掘算法中3种以上4、1 年以上数据挖掘或算法开发工作经验；5、了解hadoop/hbase/spark/storm等分布式存储与计算系统，有分布式机器学习算法开发经验者或大规模分布式计算平台的使用和并行算法开发经验优先考虑 ；6、严密的数学思维、突出的分析和归纳能力、优秀的沟通表达能力职能类别：算法工程师举报分享,39
8000-9999/月,泛华保网电子商务有限公司,中级软件工程师,职位描述：岗位职责：1、参与保险电子商务网站以及相关业务的系统设计，能够独立承担局部模块的架构设计和核心代码的实现；2、撰写系统开发过程中的需求分析文档、系统设计文档；3、进行技术研究和技术难点攻关，并解决系统开发、运行中出现的各种问题。任职要求：1、计算机软件等相关专业本科（含）以上学历、3年左右开发经验，精通JAVA语言，精通Hibernate、Spring、SpringMVC开发，有Scala 开发经验优先；2、熟悉HMTL，XHTML，Xml，CSS，Javascript，AJAX等网络技术；3、熟练掌握SQL语法，精通MYSQL或其他主流数据库，以及相关技术和工具；4、熟练掌握OOA/OOD，至少一种相关工具的应用；5、吃苦耐劳，有责任心，具备较强的组织、沟通能力，有抗压能力，能适应高强度的工作。职能类别：软件工程师关键字：周末双休带薪年假加班补助节日福利举报分享,38
25000-35000/月,美的集团,大数据开发工程师（金融）,职位描述：【岗位职责】：1、参与大规模数据快速查询系统的架构设计和开发；2、大规模数据挖掘和机器学习算法的实现；3、在线和离线海量数据分析平台的开发；4、研究大数据前沿技术，提升系统的运维效率；5、实现大数据基础架构平台（Hadoop/Spark/MPP DB）的自动化运维；【任职要求】：1、具有3年以上大数据开发经验，至少熟悉一种编程语言（Python/Java/Scala）；2、熟悉Hadoop等分布式系统开发，数据仓库技术；3、熟悉HDFS/HBase/Hive/MapReduce，掌握Mapreduce程序开发；4、熟悉分布式系统概念、架构，有大规模分布式系统设计、实现、部署等经验；5、强烈的责任心与求知欲，开源社区的活跃贡献者优先；6、有较强的书面与口头沟通表达能力，独立分析、解决问题的能力。【职位诱惑】：1、公司有对员工免费的食堂、班车、宿舍、健身房、篮球场、羽毛球场、游泳池2、每年8月份15天大假+5000旅游基金。3、互联网金融业务，发展前景相当逼格。4、最火热的互联网金融业务（信贷、消费金融、众筹 等等）5、大平台，发展空间大6、BAT 精英云集，对个人增值提升潜力巨大7、开放的互联网文化，扁平式管理方式职能类别：高级软件工程师举报分享,36
