salary,company,jobname,jobcont,jobid
4500-5999/月,广州银讯信息科技有限公司,Java软件工程师,"职位描述：【任职要求】1、大专以上 ，工作时间3年以上；2、熟练使用JAVA编程技巧和良好的文档编写能力；3、具备良好的团队合作精神以及良好的沟通能力、领悟能力；4、能承受一定的工作压力 ；5、熟悉Spring、Hibernate、Eclipse发工具、Tomcat中间件、SQL语言；熟悉Mysql数据库管理和配置，能编写高性能的SQL语句；6、熟练Web技术体系：srpingmvc，jsp，jquery，Javascript，div+css7、熟悉爬虫/hadoop/hbase/hive/spark/zookeerpe等技术,有丰富的分布式编程经验优先公司福利待遇：1、薪酬福利：绩效奖金、项目个人（团队）突出贡献奖等；2、工作时间：五天制工作日，7.5小时/天；3、享受国家法定假期及带薪年假；4、良好的企业文化氛围、融洽的合作团队及温馨的办公环境；5、提供更高更宽的职业平台，广阔的个人发展空间。职能类别：数据库工程师/管理员互联网软件开发工程师关键字：java软件工程师java研发举报分享",9
10000-20000/月,广州卡宝宝互联网金融信息服务股份...,hapood大数据开发工程师,职位描述：岗位职责：1、负责分布式数据仓库的主题模型设计和宽表开发工作；2、负责大数据分析需求设计和开发，承担数据抽取、清洗、转化等数据处理程序开发；3、负责大数据平台中实时计算和分布式并行计算的程序开发，以及开源技术组件的二次开发；4、负责BI平台数据分析、报表开发工作。岗位要求：1、本科及以上学历，计算机/数学等相关专业，具有3年及以上大数据开发经验；2、熟悉Java或scala开发，熟悉linux操作；3、熟悉Hadoop、Hive、HBase、Spark等相关技术，具有多个以上大数据平台项目实施经验；4、具有丰富的数据仓库系统的开发实施经验，熟练设计数据模型、ETL设计、Cube多维建模、OLAP开发、报表开发等；具有良好的编程习惯和文档编写习惯；5、有较强的学习能力，对技术有钻研精神，并有较高的热情，热衷于新技术学习和实践；6、优秀的团队合作精神，对工作有热情，能够承受住压力；7、具有大数据金融风控开发经验的优先。职能类别：高级软件工程师互联网软件开发工程师关键字：hapood大数据开发工程师举报分享,6
8000-12000/月,广东广凌信息科技股份有限公司,软件开发工程师（Java方向）,"职位描述：【岗位职责】1、参与公司产品（Java方向）的需求分析、详细设计，协助架构师优化技术框架；2、负责项目核心代码的编写、相关技术文档的编写及技术攻关；3、协助项目经理管理开发团队，进行项目管理，能独立负责3个人的项目团队；5、负责对软件工程师进行培训和指导；6、负责对软件实施人员的安装部署进行培训。【任职要求】1、本科及以上学历，计算机相关专业；2、3年以上Java开发经验；3、熟练运用SQL SERVER或者Oracle，熟练编写SQL、存储过程、触发器；4、精通HTML、CSS、JS、JQuery(或Ext)、AJAX等前端表现技术；5、熟悉Spring Core/MVC/Data/Hibernate/Mybatis 等框架或主流国内框架（JFinal/SpringSide等），具备一定的面向对象分析设计能力；熟练运用三层架构；6、有较强的逻辑思维能力，有规范化、标准化的代码编写习惯和良好的技术文档习惯；7、具有管理开发团队经验者优先；8、熟悉UML原理，至少掌握一种UML建模工具；9、有HTML5、Android、IOS 开发经验者优先；10、有Hadoop, NOSQL, spark等云计算开发经验优先。职能类别：高级软件工程师关键字：Java开发J2EE举报分享",7
15000-18000/月,广东万丈金数信息技术股份有限公司,算法与数据挖掘工程师,职位描述：职位描述：1、负责标签系统和用户画像体系的设计与建立；2、应用机器学习，语义分析，统计预测建模等前沿技术分析和挖掘海量内容和行为数据；3、参与大数据预测模型的产品设计，技术架构设计，搭建与开发；4、进行语义理解，信息抽取，统计，分类，检索和推荐系统等产品的研发。职位要求：1、计算机、数学或统计等相关专业本科及以上学历，3年以上数据科学相关工作经验；或者硕士或博士，1-2年以上相关经验；2、优秀的逻辑思维和独立思考能力，对数据有敏锐的直觉；3、扎实的机器学习、数理统计理论和技术基础，有语义分析，自然语言处理，推荐式系统等工程实践经验者优先；4、能够熟练应用统计预测模型，例如逻辑回归，决策树，聚类等模型；5、熟悉Linux开发环境，良好的系统编程、数据结构、算法基础、系统设计能力；6、扎实的编程基础，熟练应用SQL/Python/R/Java等编程语言进行Prototype 以及工程开发；7、熟悉Hadoop，Spark等分布式平台；熟悉开源搜索或自然语言处理项目，有海量数据处理经验者优先。职能类别：其他举报分享,4
10000-18000/月,广州财略金融信息科技有限公司,高级大数据开发工程师,"职位描述：岗位职责1、参与大数据架构的搭建、开发和维护，负责Hadoop平台的SparkR、Spark、MapReduce应用开发和维护；2、协助大数据平台集群运维和监控；3、能通过开发工具/平台解决性能问题；4、参与新技术选型和调研，解决不断增长的海量数据带来的存储和计算挑战。任职要求1、熟悉大数据技术（hadoop、hdfs、hive、spark、pig、nosql、hbase、flume、scribe、elastic search），2年以上基于Hadoop/Hbase/Hive等应用开发经验,对分布式计算有较为深刻的理解；2、精通java等开发语言；3、具有很强的新技术和业务学习能力4、有设计高性能网站，数据挖掘技术架构的经验优先；5、熟悉OO，SOA等技术6、有金融量化系统开发经验优先7、熟悉R/Mathlab等统计脚本语言优先职能类别：互联网软件开发工程师数据库工程师/管理员关键字：开发双休发展空间举报分享",8
8000-12000/月,广州亚美信息科技有限公司,大数据开发工程师,"职位描述：岗位职责：1、负责公司内数据分析需求的开发工作，及相关沟通；2、负责大数据平台系统的建设管理工作。职位要求：1、具有专科及以上学历，计算机或相关专业, 大数据1年以上工作经验；2、至少有一个完整的大数据平台或BI系统实施经验，了解平台建设各环节工作；3、熟悉 Hadoop/Hive/HBase/Spark/Sqoop/Flume 等主流工具，具备相关开发经验；4、强烈的敬业精神，良好的沟通与协调能力，能有效组织协调团队完成各类开发工作；5、具备BI开发经验/多维建模/olap dash展现工具使用经验者优先。职能类别：软件工程师举报分享",49
5000-15000/月,广州地尔国际商贸有限公司,Hadoop开发工程师,职位描述：职位描述：1.Hadoop集群以及Hive、HBase、Pig等相关软件配置、优化、维护、管理；2.负责Hadoop数据分析模块与其它系统/模块之间的衔接，为BI提供基础数据分析；3.熟悉常用数据挖掘算法，解决海量数据分析、挖掘方面的业务需求。岗位要求：1.计算机、数学或统计等相关专业本科及以上学历；2.有线上Hadoop集群的搭建，管理及调优经验；3.熟悉Hadoop和Hive，有MapReduce编程经验；4.具有优秀的学习能力、独立分析问题和解决问题能力；5.有“用户画像”或者推荐引擎相关数据挖掘经验者优先；6.有Spark、Storm、Pig等开源组件的使用经验者优先；职能类别：高级软件工程师举报分享,48
20000-30000/月,三七互娱（上海）科技有限公司,高级数据库管理(DBA),"职位描述：1.互联网游戏行业平台和产品的后端存储架构设计。2.存储架构需满足用户大规模增长时的可用性。3.负责大数据统计分析架构的设计和搭建，给出专业指导意见。4.带领团队进行DB运维自动化平台建设。5.带领团队进行后端存储的技术选型和架构实现，解决技术难题，为业务提供稳定性保证。6.云DB运维的平台化实现。任职要求：1.了解mysql高可用架构方案，熟悉mha，mmm，xtrabackup等开源组件。2.熟悉至少一种关系型数据库(mysql,oracle,postgresql等)和nosql数据库实现(redis,mongodb)。3.深入理解一种数据库原理，mysql或pgsql等。4.对DB自动化运维有一定理解并付诸实际，有云DB运维和设计经验更佳。5.对shell，python，perl，php至少掌握2门语言以上，能够写出高效脚本，程序。6.熟悉至少一种开源大数据存储方案(HBASE,cassandra，GPDB)，有spark或者hadoop经验更佳。7.有中大型应用系统分布式架构设计经验，独立承担过中大型系统存储架构设计和搭建。职能类别：数据库工程师/管理员关键字：数据库管理DBA举报分享",50
15000-19999/月,广州云湾信息技术有限公司,数据分析师/数据挖掘（研发方向）,"职位描述：岗位职责:1、负责智能硬件的业务建模、开发、及应用；2、负责目标用户挖掘，开发推荐模型、评估模型，并固化应用；3、大数据平台数据清洗、转换、建模的开发工作；4、快速支撑日常临时需求分析任务。岗位要求:1、本科以上学历，统计学、应用数学、信息科学技术等相关专业，3年以上数据挖掘经验；2、熟悉Hadoop、Spark、Storm等并行计算框架；3、具备Hive、Kettle、R、Mahout等数据仓库工具开发经验者优先；4、掌握一定的关系数据库知识，熟悉SQL语言，有oracle, mssql, mysql 等任一一种使用经历，对海量数据挖掘分析有浓厚兴趣，了解NoSql技术。5、极强的快速学习领悟能力。职能类别：数据库工程师/管理员举报分享",46
10000-14999/月,广州市云动科技有限公司,Java研发工程师,职位描述：职位描述：1、负责新闻后台相关系统的设计研发及持续优化；2、参与Java基础平台架构设计与优化，通用组件设计与开发；3、参与解决海量数据分布式处理、高效即时查询、数据准确性、运行稳定性等方面的各种技术挑战。任职资格：1、计算机或相关专业本科或以上学历，1年以上大数据工作经验；2、熟悉Linux开发环境，熟练掌握Java开发语言、开源框架及相关的调试技术， 熟悉脚本编程（如shell、python等）；3、深度理解数据模型和数据仓库，有数据挖掘的背景和学习经历，对分类、聚类、关联挖掘和推荐有深刻的认识或经验；4、对大数据分析、机器学习、推荐算法等有一定项目经验，有自然语言学习经验优先；5、熟悉大型分布式、高并发、高可用性系统设计开发，有hadoop或spark生态经验；6、强烈的责任心，对技术充满热情，高效率，良好的沟通能力。职能类别：互联网软件开发工程师算法工程师关键字：数据挖掘推荐算法机器学习Java开发后台开发举报分享,5
15000-30000/月,广州四三九九信息科技有限公司,高级数据后台开发工程师,职位描述：数据平台建设工作职责：从事公司运营大数据平台的建设1，hadoop/hbase/spark/hive等系统优化和部分运维工作2，基于hadoop的数据平台统一类sql查询系统开发3，实时分布式日志消息队列系统开发岗位要求：1. 大学毕业以上2. 3年及以上JAVA/PHP工作经验，基础扎实，精通IO/NIO、序列化及RPC (Thrift/ProtocolBuffer/AVRO)、多线程、并发等基础框架；3. 2年以上的数据平台开发经验，有Hadoop/Hive的开发使用优化经验4. 熟悉MySQL，对MySQL的较大量数据存储、优化有丰富的经验5. 熟悉Linux/Unix操作系统，熟悉脚本编程（Shell/Perl/Python 其中一种），熟悉常规Linux内核优化6. 对常见的数据分析模型有一定的了解，有海量数据分析项目经验、数据挖掘项目经验尤佳7. 具有优秀的学习能力、独立分析问题和解决问题能力8. 有良好的沟通能力、学习能力、诚信、激情与合作精神职能类别：网站架构设计师关键字：javahadoophiveDMPDSP数据大数据举报分享,47
10000-16000/月,广州欧赛斯信息科技有限公司,Java高级开发工程师,职位描述：1、3年以上软件开发经验，近2年一直从事软件开发，至少参加过1个软件项目。2、熟悉J2EE架构和相关的JAVA开发技术，具备非常扎实的Java基础，熟悉OO分析设计方法和J2EE设计模式。3、熟悉JVM基本工作原理，独立编写过小型Java框架和工具优先。4、熟悉网络编程（多线程处理，BIO，NIO），熟悉TCP/IP协议，HTTP协议，开发过5000行代码以上的服务器程序（不局限于Java代码）优先。5、熟悉应用服务器，开发过5个以上J2EE应用。至少熟悉以下一种技术：JSF，jsp/servlet，EJB，JMS，WebService。6、有较强的口头表达能力，严谨细致的洞察能力、分析判断能力，能独立分析问题和解决问题。7、心态开放、思维敏锐，具有较强的沟通能力和团队合作精神。8、热爱技术，有较强的钻研能力，对软件开发有浓厚兴趣，乐于接受有挑战性的任务。9、有消息类（如：PUSH、IM、微信）或大数据类BI（如：Hadoop、Hive、Spark）领域开发经验者优先。职能类别：高级软件工程师关键字：javaimpush微信eimsocket举报分享,45
