salary,company,jobcont,jobname
10000-30000/月,广州市友和房地产投资有限公司,职位描述：岗位职责：1、负责设计和搭建网络服务平台系统架构；2、及时解决项目开发中的技术难题，对设计平台的最终性能和稳定性负责；3、负责日常的网络维护、网络监控、网络性能分析等工作；4、及时处理相关网络故障，优化网络结构。岗位要求：1、计算机、网络通讯等相关专业本科以上学历；2、3年以上大型服务平台网站架构设计和框架搭建经验，具有较强的技术前瞻性，有互联网公司的网络运维工作经验者优先；3、具有系统需求分析和设计能力，能快速理解业务需求并进行相关逻辑设计；4、熟悉TCP/IP协议，具有较强的逻辑分析和处理故障的能力；5、精通网络和服务器优化、缓存、分布式存储技术；6、熟悉相关网络监控系统的日常使用及维护等工作；7、工作积极主动，有责任心，具有良好的团队合作精神，沟通能力强，具有较强的创新能力，有良好的计划和执行力。职能类别：技术支持/维护工程师举报分享,架构设计师
15000-25000/月,云宏信息科技股份有限公司,职位描述：岗位要求：1、管理项目的需求分析，能够独立或领导团队完成功能性和非功能性需求分析，并基于IT业界标准和***实践为政府、企业客户开发相关解决方案和专业服务；2、独立或领导团队进行系统设计活动，评审系统设计确保解决方案展现出高水平的性能、安全、可扩展性、可维护性，有适当的可重用性和实施的可靠性；在功能实现前评审高风险设计并决定是否批准该设计；3、指导开发组按照架构设计进行的功能实现，编写主要代码和模块，解决实施中遇到的技术难题；4、领导技术和产品分析，方案的准备和产品的策略，白皮书；5、组织和协调项目团队，与相关部门紧密合作，快速、高效推动服务产品设计研发和新技术应用。岗位职责：1、本科及以上学历5年以上工作经验，英语四级及以上，能熟练阅读英文文档，计算机、信息及管理相关专业优先考虑；面试时请提供成功案例；2、有银行、保险、证券等金融行业软件设计经验优先；3、熟悉服务产品的设计和运营模式，能够独立进行新产品定义、规划、策划、设计；4、了解主流分布式计算技术，了解云计算、大数据、区块链等主流热点技术；5、有良好技术和产品结合感知度，具备优秀的文档和展现能力；6、有系统集成公司或知名IT软、硬件厂商产品经理或项目经理经验者优先考虑；7、踏实努力，刻苦耐劳，可以适应出差，和突发性工作的要求。职能类别：高级软件工程师举报分享,软件架构设计师-区块链应用方向
15-20万/年,广州众瀛付信息技术咨询有限公司,"职位描述：岗位职责：1.对产品的整体系统代码开发测试负责，对产品的系统安全性，稳定性设计负责，开发及相关设计文档编写；2.负责相关请求的技术分析，负责制订相关的技术解决方案；3.参与制定设计及实现规范，指导设计、实现及部署工作；4。协助公司进行技术决策，进行技术风险评估；5.独立设计，编码，以及相应的单元测试；完成系统各项测试。6.负责产品的质量管理、版本管理。任职资格：1.大学本科及以上学历，计算机及相关专业；.JAVA基础扎实，有两年以上相关工作经验；2.熟悉主流开源框架及原理，以及测试框架；3.熟悉Linux，Nginx，熟练配置维护Tomcat, Jetty，websphere等应用服务器；4.熟悉数据库设计，熟悉MySQL,MongoDB等数据库，并具有较好的SQL编写及优化能力；.熟悉缓存技术和分布式系统理论，有Redis, Memcache等实际使用经验；职能类别：系统架构设计师关键字：MySQLMongoDBSQLJAVA基础扎实LinuxNginx系统架构设计举报分享",系统架构设计师
16000-25000/月,恒拓开源（天津）信息科技股份有限...,"职位描述：岗位职责：1.根据公司业务发展特点，跟踪研究相关技术发展方向，了解、掌握各类技术架构，参与规划、设计、实施公司IT系统技术架构；2.根据各项目需要，与用户互动获得深入的业务需求，分析用户的需求和约束条件，建立业务模型并确定合适的技术架构；3.根据项目用户应用领域的实际业务需求情况，参与项目系统技术架构设计和业务功能分析，设计正确、合理的软件构架，以确保系统构架具有良好的性能，并指导项目组进行开发；4.参与制订企业的战略数据规划，评估和选用适宜的开发方法和工具；制订系统分析、设计文档规范和开发编码规范等，参与审核、讨论各项目提交的技术方案、设计说明书；5.代表公司参与售前工作，为客户提供技术解决方案；6.负责技术难点研究或技术验证：带领相关人员承担部门或公司委托的技术难点研究或技术验证，负责撰写技术难点研究报告或技术验证结果报告；7.负责系统架构设计，系统部分概要设计、详细设计，协助开发人员读懂设计，并按设计进行编码。8.导师工作：担当新进人员、初级或中级程序员导师。岗位要求：1.计算机相关专业重点大学本科（含）以上学历，具有5年以上Java系统分析设计经验，有2年以上大中型软件系统架构设计、实施、管理经验；2.熟悉UML建模语言以相关Case工具，如Power Designer、Enterprise Architect或Rose等；3.对大型系统稳定性，可扩展性，响应能力的设计有深刻的理解与实践；4.精通OOD技术，掌握OOD原则，熟悉GOF设计模式及架构设计模式，深入理解IOC、AOP、ORM、分布式应用等技术；5.精通主流WEB应用技术架构及相关系统架构的分析、设计、实施方法及工具, 熟悉主流数据库（Oracle / SQL Server / DB2）、操作系统（Unix / Linux / Windows）和设计模式；6. 具有扎实的理论基础，善于技术方案的策划和撰写，具有良好的文字和语言表达能力；7.具有强烈的责任心和良好的职业道德，工作认真、踏实，有良好的人际交往能力、沟通能力和团队合作精神，能承受工作压力；8.有全省性或全国性等大型行业应用系统分析、设计和实施经验者优先；9.有集群，分布式，负载均衡等大型应用架构设计和实施经验者优先；10.有JBoss服务器调优，RHCA证书，Drools相关经验者优先。职能类别：系统架构设计师高级软件工程师关键字：架构java系统设计j2ee举报分享",系统架构设计师
15000-30000/月,广州四三九九信息科技有限公司,职位描述：工作职责1、从事公司亿级注册量运营平台基础服务系统的架构和开发；2、参与培养PHP开发工程师、切实促进同事间成长；3、引进分享优秀技术、能够使用优秀技术解决实际问题。任职要求1、本科以上学历，计算机相关专业毕业，具备1-4年Web开发经验；2、熟悉网站构架和性能优化，熟悉各种Web缓存技术，并有实际的项目经验；3、熟悉MySQL，有较优秀的海量数据处理经验和性能优化经验；4、熟悉Linux，熟悉Python/Shell中的一种语言；5、具有良好的沟通能力，有较强的独立工作能力和解决问题的能力。可选：1. 掌握XML、HTML/XHTML、CSS、Javascript、AJAX、JSON等Web页面技术；2. 具有大型网站开发经验者为佳；3. 有数据分析处理经验或大数据分析处理实施经验（Hadoop，Hive，Infobright等）更佳。职能类别：互联网软件开发工程师高级软件工程师关键字：PHP运营平台WEB平台海量数据架构Linux举报分享,PHP开发高级工程师/系统架构设计师(平台运营方向)
30000-39999/月,广东铂亚信息技术有限公司,职位描述：岗位职责：1.领导技术和产品分析，方案的准备和产品的策略，白皮书，回应管理层关于技术和产品话题的询问。2.开发系统的功能性和非功能性的需求。3.提供关于系统的设计、架构、集成的想法；指导并带领项目组合理使用技术。4.领导技术和产品的评价，细节评估，并做最后的选择。5.领导系统设计活动，评审系统设计确保解决方案展现出高水平的性能、安全、可扩展性、可维护性，有适当的可重用性和实施的可靠性；在功能实现前评审高风险设计并决定是否批准该设计。6.指导开发组按照架构设计进行的功能实现，编写主要代码和模块，解决实施中遇到的技术难题。7.优化和提高现有产品架构。8.把握技术发展方向，进行技术创新，为其他技术人员提供培训和技术建议。任职要求：1.具备8年以上软件行业工作经验；具备教育装备行业软件开发经营优先考虑；2. 具备4年以上C/S体系结构软件产品开发及架构和设计经验；3. 具备3年以上的代码编写工作经验；4. 具备丰富的大中型开发项目的总体规划、方案设计及技术队伍管理经验；5. 对相关的技术标准有深刻的认识，对软件工程标准规范有良好的把握；6. 精通大型数据库如Oracle\Sql Server等的开发；7.非常强的系统规划，系统部署，性能调优等能力和经验，能写高质量的代码。8.思路清晰，具备优秀的学习能力和研发分析能力，宽广的技术知识面，对技术方向有良好的把握。9.易于合作和沟通，并具有带领技术团队的成功经验。10.有良好的英语听说读写能力。11.计算机硕士以上，博士优先，博士可放宽工作经验的要求职能类别：系统架构设计师关键字：架构师举报分享,软件架构设计师
20-30万/年,广东紫晶信息存储技术股份有限公司,职位描述：岗位职责：1、基于Linux OS软件架构设计，熟悉文件系统结构2、Linux平台上的C、C++、Java软件研发3、根据产品和项目需求，分析、设计与实现系统架构方案，保障系统架构的合理性、可扩展性及经济性；4、负责产品架构分析，提出软硬件架构整体设计，数据库存储设计方案，指导其他工程师的设计工作；5、对相关产品系统架构方案进行评审及改进，控制产品系统架构质量；6、负责核心技术问题的攻关，系统优化，独立完成关键模块开发工作，协助解决项目开发过程中的技术难题；7、制定开发规范，参与制定技术标准，编写相应的技术文档，并对通用技术进行整理，提高技术复用。8、积极了解业界发展、相关新技术及趋势，促进技术进步和创新。任职要求：1、本科以上学历，计算机相关专业，5年以上架构设计工作经验；2、对局域网、广域网、项目开发和管理、企业级应用集成、商务网站建设、数据库应用技术、信息安全技术以及互联网技术等领域有广泛的技术知识和经验；3、有较高的数据库设计能力，精通ORACLE、MYSQL、SQLSERVER等主流数据库系统，熟悉Linux操作系统；4、具有项目管理经验，拥有目标的设定与执行、协调沟通、进度管理、团队建设、 激励与指导他人的能力，富于团队精神和工作责任感；5、熟悉分布式、高性能架构和开发技术，如分布式应用开发、数据分布式管理和同步等6、熟练使用Shell等脚本语言；7、熟悉Arm等系统架构和原理；职能类别：系统架构设计师系统集成工程师关键字：年终双薪节日福利立即上岗举报分享,系统架构设计师
15-20万/年,广州众瀛付信息技术咨询有限公司,"职位描述：岗位职责：1.对产品的整体系统代码开发测试负责，对产品的系统安全性，稳定性设计负责，开发及相关设计文档编写；2.负责相关请求的技术分析，负责制订相关的技术解决方案；3.参与制定设计及实现规范，指导设计、实现及部署工作；4。协助公司进行技术决策，进行技术风险评估；5.独立设计，编码，以及相应的单元测试；完成系统各项测试。6.负责产品的质量管理、版本管理。任职资格：1.大学本科及以上学历，计算机及相关专业；.JAVA基础扎实，有两年以上相关工作经验；2.熟悉主流开源框架及原理，以及测试框架；3.熟悉Linux，Nginx，熟练配置维护Tomcat, Jetty，websphere等应用服务器；4.熟悉数据库设计，熟悉MySQL,MongoDB等数据库，并具有较好的SQL编写及优化能力；.熟悉缓存技术和分布式系统理论，有Redis, Memcache等实际使用经验；职能类别：系统架构设计师关键字：MySQLMongoDBSQLJAVA基础扎实LinuxNginx系统架构设计举报分享",系统架构设计师
10000-14999/月,广州通易科技有限公司,职位描述：我公司开发的优驾品牌，是一款面向车主的智能硬件产品。该产品已经上市销售，目前已经成为车联网领域销量领先的品牌。产品介绍详情可查看www.gooddriver.cn任职要求1、3年以上J2EE开发经验；2、精通Web前端技术CSS，JavaScript，AJAX，HTML，XML等，熟悉JQUERY、EXTJS等JavaScript类库；3、能熟练应用struts，Spring、Hibernate整合开发，熟悉j2ee技术平台和主要框架；4、熟练掌握weblogic/websphere/tomcat等一种以上应用服务器以及myeclipse等ide的开发和配置；5、熟悉MySQL，oracle等一种以上数据库操作，有丰富的经验；6、熟悉web端报表展现的一些控件，如：Jfreechar、Highchart、ECharts等；7、有良好的语言表达能力与沟通能力，思路清晰、逻辑性强；8、有HMTL5开发经验的优先考虑。职能类别：系统架构设计师关键字：J2EE，CSS，JavaScript，AJAX，HTML，XML举报分享,系统架构设计师
6000-7999/月,广州麦趣网络科技有限公司,"职位描述：职位描述:负责公司电子商务网站开发二次开发，网站日常维护，服务器维护等工作，职位描述：1. 负责公司电子商务网站维护工作，二次开发工作；2. 网站日常改版及维护，产品更新，节日促销活动,在线支付及相关业务开发支持工作；3. 负责网站程序开发及维护，网站后台开发、管理工作；4. 负责网站服务器运作维护；任职要求：1. 岗位职责：1.负责将页面原型开发成符合规范的html页面2.和交互设计时一起，完成界面交互的开发。岗位要求：1.大专及以上学历，计算机、软件工程及相关专业；2.1年以上web前端开发经验；3.精通web前端技术，包括html、xml、css、javascript；4.至少精通jquery、YUI、ext js等前端框架其中的一种；5.熟悉J2EE、JSP/servlet编程；6.熟练div+css布局的html代码编写并兼容各浏览器；7.对用户体验、交互操作流程及用户需求有一定理解，对前端开发有浓厚兴趣；8.良好的团队合作精神，较好的沟通能力，高度的责任感，能够根据需求，分析并给出最有的前端技术解决方案。2. 对互联网的技术有较全面理解，能独立应付大访问量下网站的设计和开发工作；3. 具有团队合作精神，积极、热情的工作态度，并具备独立解决问题的能力。4. 具有良好的学习能力和沟通能力，本科以上学历，英文专业优先。工作职责1、负责公司网站前端和后端的技术支持工作；2、根据网站发展需要，对新提出的功能模块进行升级、开发；3、负责网站运行的安全性、可靠性及稳定性；4、对网站系统数据库进行日常管理，统计数据库中相关信息；5、定期更新免费视频到网站；1、三年以上网站二次开发、网站维护的工作经验2、较强的分析解决问题能力和学习能力3、熟练使用Visual Studio 2010/2012开发环境，dreamweaver、flash、photoshop等网页制作工具4、熟悉W3C标准，熟练使用.net语言的开发技术，html、DIV+CSS、js、AJAX等常用页面语言，具备良好的网页 编程能力5、熟练使用SQL数据库，擅长论坛的二次开发6、熟悉在线视频培训、社区论坛等，以及熟悉数据整合7、熟悉网站安全管理，防范黑客入侵网站，能及时处理数据库突发故障；职能类别：网站架构设计师Web前端开发举报分享",网页设计美工 Web前端开发 网站架构设计师
