salary,company,jobcont,jobname
5000-10000/月,广州市昊恒信息科技有限公司,岗位职责：1.负责开发信息安全相关工具与产品2.负责开发漏洞检测利用脚本3.负责开发分布式网络架构4.负责大数据存储与检索分析5.负责开发与上层应用通讯接口能力要求 ：1.对信息安全有一定了解，熟悉OWASP TOP10等安全风险及对应的解决方案2.了解渗透流程，熟悉常见WEB安全漏洞分析与防范，如sql注入，xss等3.从事python项目开发2年以上，熟悉python运行机制与内存管理机制4.熟悉常用的设计模式，数据结构，软件开发流程等，并具备良好的编码规范5.熟悉linux，对多线程，多进程，socket，异步io等有一定了解6.熟悉分布式系统架构，有分布式项目开发经验优先7.思维活跃，乐于沟通，有良好的团队意识，抗压能力强，并有强烈的进取心公司将提供：（1）人性化舒适的工作环境；（2）有竞争力的薪酬体制；（3）丰富多彩的文化生活；（4）多元化的成长培训计划；完善的福利待遇：（1）公司实行五天工作制，弹性的上下班时间，周末双休。（2）为员工购买养老保险、失业保险、工伤保险、基本医疗保险、生育保险。（3）员工享有所有国家法定节假日，并享有带薪年假、产假、婚假、看护假等。（4）年底发放双薪。（5）部门活动与年度旅游活动。（6）享有公司期权,python 开发工程师
8000-12000/月,广州元因信息科技有限公司,岗位描述：?1、  Web后台的系统设计、功能开发2、  服务器架构和运维3、  根据设计，实现简洁、健壮、优美、扩展性强的后台4、  撰写程序设计、API等相关技术文档岗位要求：1、计算机相关专业，本科以上学历，有1年以上的Python的开发经验2、熟练掌握Python语言，并使用该语言进行过项目开发3、至少熟悉一种Python Web框架，如Django、Tornado、Flask等4、精通MySQL，精通Linux/Unix及Apache、Ngnix等主流Web服务器的基本配置和进程监控，熟悉常用SHELL命令5、具有良好的代码风格和开发习惯6、 熟悉亚马逊AWS，有过基于AWS的开发经验者优先7、英语能力突出，能够流畅阅读英文文章解决技术难点8、具备较强的逻辑思维能力、自学能力和沟通能力,Python工程师
4000-7000/月,广州铭岩信息科技有限公司,1、技能要求：掌握Python开发、掌握MySql、掌握HTML、掌握jQuery、掌握CSS、掌握JavaScript2、工作经历要求：有至少6个月工作经验；3、学历要求：最少大专毕业，计算机相关专业优先；4、其它要求：诚实、对从事互联网行业充满兴趣、热爱技术、带人友善5、性别要求：不限,Python开发者
10000-14999/月,广州市天诺营销策划有限公司,岗位职责：1.参与需求分析，产品设计，功能开发；2.负责系统平台的日常维护；3.与团队技术交流，共同进步 ；4.承担web后端的技术工作，开发和维护公平价网站，主要编程语言是python 。岗位要求：1.有扎实的编程功底，热爱编程，精通至少一门开发语言，愿意深入学习Python；2.熟悉MVC架构，精通Django或者其他Python Web开发框架者优先；3.具备数据库设计能力，精通掌握MySql/MongoDB者优先；4.熟悉Linux操作系统，熟悉Apache/Tomcat/Ngnix等WebServer的部署和应用；5.有大型网络服务开发经验者优先；6.具备良好的编码习惯及开发文档书写习惯；7.具有优秀的团队合作和沟通协作能力，善于学习，乐于分享，能承受较大工作压力；8. 有一定的web前端技能，了解或熟悉HTML、CSS、Javascript。,Python/Django开发工程师
6000-7999/月,广州市维艺信息科技有限公司,岗位职责：1、负责公司产品功能设计、开发2、负责公司项目部署，运维任职要求：1、熟悉web开发2、熟练mysql、nosql3、有服务器运维经验优先4、tornado框架的使用经验优先5、具有良好的沟通能力、团队合作精神、能承担工作压力,Python开发工程师
6000-12000/月,PPmoney互联网金融平台,"工作职责：根据业务需求，完成大数据的抽取、转换、加载和可视化展示。任职资格：1.计算机、应用数学或统计学等相关专业本科及以上学历；2.1年以上开发和架构设计经验，具有java和python 开发能力；3,具备BI/数据仓库的实际开发经验，熟悉使用kettle进行异构数据库之间数据同步；4.具备海量数据挖掘及分析相关项目经验，了解挖掘算法（例如逻辑回归、决策树、贝叶斯、神经网络等）；5.了解Hadoop、Spark以及各种nosql等大数据工具和方法；6.有强烈的责任感，主动性强，具有良好的团队合作精神和高度的责任心，能在较大压力下工作。",Python工程师
6000-7999/月,广州狮鹫网络科技有限公司,职位描述：1、参与服务器端需求设计；2、服务器端核心模块与逻辑代码实现；3、服务器端代码测试与维护；任职资格：1、计算机相关专业大专及以上学历；2、熟练掌握C++或python语言，熟悉python优先，有良好的编码习惯，熟悉常用的设计模式；3、熟悉常用数据结构及算法；4、熟悉windows环境下的多线程、socket编程；5、熟悉mysql、oracle、sql server等一种或多种数据库；6、能承受一定工作压力，富有良好的团队协作精神；7、有boost、ace等多种开源库使用经验优先。公司福利：1、公司包餐（一日三餐，膳食均衡搭配)-妈妈再也不用担心你不按时好好吃饭啦！2、五险一金，年终双薪；3、公司出资组织员工开展企业活动—一起玩，不掉队；4、完善的加薪激励制度-看得见的提升，更直接的回馈；5、法定假期、婚假、丧假、产假、年假等符合国家相关规定；6、职能间内部竞聘调任制度。快速发展的我们，其他福利也将陆续完善中哦~,C++/python服务端
100元/天,广州中国科学院计算机网络信息中心,岗位职责：1、根据IP地址，利用网络测试技术进行网络探测和信息抓取；2、对抓取的信息进行结构化存储、处理、分析。任职要求：1、计算机网络技术、网络工程等相关专业，优先考虑在读研究生；2、熟悉网络技术与协议；3、了解数据存储、处理与分析工具与技术；4、有高度的责任心；5、实习生提供住宿，表现优秀者可转正。,Python实习生
10000-14999/月,北京并行科技股份有限公司,"岗位职责：1、参与基于Django 应用的开发， 根据需求实现后台的业务逻辑和页面展现；2、参与需求的讨论和代码的审核，完成设计相关 文档的编写；3、独立完成功能模块的设计、编码和测试；4、完成bug的跟踪调试和解决。任职要求：1、熟悉Linux操作系统使用和软件开发的基本流程，至少会使用一种软件版本管理工具。2、熟悉Python语言，较强的独立开发能力，具备良好的代码风格，至少1年以上Python开发经验，熟悉Django。3、有前端开发经验（HTML/CSS/JS）,熟悉Jquery等框架的使用。4、能够熟练使用标准的SQL语言，精通MySQL。能够承担较大工作压力，具备良好的沟 通能力和团队协作精神。",python开发工程师（广州）
8000-9999/月,广州市邦富软件有限公司,1、 根据产品需求，按时完成指定模块的设计与开发。2、 对原有产品进行扩展，并对其进行优化及维护。任职资格:1、 1年以上Python相关开发经验，具有Django 经验者优先。2、 至少开发过一个3个月以上开发周期的Python项目。3、 熟悉Linux及MongoDB优先。4、 具有优秀的团队合作和沟通协作能力，积极上进，学习能力强，理解能力和接受能力好，能承受较大工作压力。公司福利待遇：1、薪酬福利：绩效奖金、五险一金、项目个人（团队）突出贡献奖等。2、工作时间：五天制工作日，8小时/天。3、享受国家法定假期及带薪年假。4、良好的企业文化氛围、融洽的合作团队及温馨的办公环境。5、提供更高更宽的职业平台，广阔的个人发展空间。,Python软件工程师
10000-14999/月,深圳市深信服电子科技有限公司,(1).1年以上python开发经验，精通python语言；有python调试经验，能掌握远程调试、单步调试者优先考虑。(2).熟悉Linux操作系统、熟练掌握linux性能分析工具或者shell优先；(3).对openstack云平台整体架构及核心组件，如：Nova，Cinder，Glance，Keystone，Neutron，openstack社区代码贡献者优先；(4).具有良好的沟通能力，良好的书面和口头表达能力；(5).思维缜密，逻辑性强，具有挑战精神和前瞻性，良好的团队协作精神，乐于接受和实践新技术。,python开发
10000-14999/月,广州爱拍网络科技有限公司,职位描述1.根据需求进行pc客户端的设计、开发和维护；2.验证和修正测试中发现的问题；3.持续的优化升级相关产品的质量、性能、用户体验；4.学习和研究新技术以满足产品的需求；5.撰写模块设计说明书及相关技术文档。任职要求1.本科或以上学历，计算机或相关专业毕业；2.编程基础扎实，精通常用数据结构与算法和设计能力；3.熟练掌握面向对象设计技能，有良好的代码习惯，要求结构清晰，命名规范，逻辑性强，代码冗余率低；4.熟悉Qt sdk及相关开发工具，2年及以上Python开发经验。5.熟悉网络协议，掌握基本的网络通讯原理。6.有规范开发流程经验，熟悉客户端的完整开发流程。7.具有一定的沟通能力和良好的团队合作精神。8.有社交类移动产品开发经验者优先。,Python/PyQt开发工程师
10000-14999/月,贵州格安科技有限公司广州分公司,工作职责：1. 参与数据存储平台的开发；2. 参与运维管理平台的开发；3. 设计相关网站和数据库系统的架构；职位要求：1. 有 python 实际开发经验，了解Django、Tornado或Flask等任意一种Web框架；2. 熟悉 HTML/Javascript/CSS 等前端技术；3. 熟悉常用的 SQL 的使用及优化；4. 有能阅读英文文档并解决工作中遇到的问题的能力;5. 了解 Git 等代码管理工具、能够以Linux作为日常工作环境；6. 具有良好的学习能力以及理解、分析和解决问题的能力，乐于分享，具有团队协作精神。加分：1. 熟悉网络原理，对CDN工作方式有一定了解；2. 对各种软件硬件性能指标、Anomaly Detection有一定了解;3. 有参与 blog，github，stackoverflow 或微博等活动；,Python web开发工程师
10000-14999/月,广州游爱网络技术有限公司,"岗位职责：1.维护原有游戏后台2.开发后台新功能3.熟悉部署环境，有一定的web运维经验职位要求：1. 1年以上Python开发经验2. 至少熟悉一套Python的web框架(django, web.py, tornado)",python后台开发工程师
8000-15000/月,广州昊动网络科技有限公司,"工作职责：1、负责App后端接口的功能设计、开发和优化；2、完成数据统计与分析的工作；3、按照项目计划，完成开发任务。岗位要求:1、1-2年以上的Python开发经验；2.至少熟悉一种Python Web框架，如Django、Tornado、Flask等；3.熟悉 MySQL，有 MongoDB开发经验者优先；4.熟悉 Web 前端（HTML/CSS/JS），有 jQuery/Bootstrap 经验者优先；5.有除 Python 外，任一主流语言开发经验（C/C++/C#/Java/PHP)等；6.对数据抓取感兴趣,精通网页数据抓取的同学优先7.能按时完成安排的工作，拥有独立解决问题的能力",Python工程师
4500-5999/月,广州市虹联信息技术有限公司,职位描述：1.参与无线方案相关的业务分析和设计2. 参与和协助完成基于Python及相关框架的后台项目开发和维护工作；3. 参与和协助完成使用Python语言为主的各种技术研究性质的工作；4. 参与和协助云平台的构建；5.独立、协作完成重要模块的设计；职位要求：1. 计算机相关专业者优先，良好的英文读写能力；2. 熟悉Python语言编程及常用模块，熟悉 python 中多线程、多进程及网络开发等模块；3. 熟悉Linux开发环境和操作系统；4. 熟悉Linux操作系统原理、HTTP协议、路由交换原理。5. 很好的学习沟通能力，具备较强的独立解决问题的能力和团队协作精神，自我驱动，能够快速掌握新技术并拓展。,python开发工程师
10000-20000/月,广东怡创科技股份有限公司,"高级人工智能(深度学习)算法工程师职位描述：1、计算机本科或者数学本科及以上相关学历，具备良好的数学基础，有人工智能研发经验者优先；2、精通深度学习理论，熟悉人工神经网络；3、精通C,PYTHON语言，熟悉CAFFE，tourch等框架；4、具有良好的沟通织能力和良好的团队合作精神及表达能力；5、具有良好的分析能力、逻辑思维能力。工作职责：1、负责基于深度学习的人工智能的算法的优化和实现。怡创软件开发中心目前正在研发的产品包括：1.怡创ERP系统：目前怡创公司业务已经遍及全国十多个省市，全公司近三四千人，近千辆车的工单调度管理、项目管理都依赖于自主研发的ERP系统。该系统基于J2EE+Oracle+Hadoop架构，结合移动互联网和物联网技术，为全公司提供全天候7*24小时的高可用性的随时随地可用的高效的调度和项目管理服务。2.怡创网优云服务平台：作为国内电信运营商最大的代维服务提供商之一，公司承接了大量的移动通信网络的优化服务。移动通信网络的优化每天均需要处理亿级别的大数据，网优云服务平台充分利用了基于KVM+OPENSTACK的虚拟化技术，使用Hadoop分布式计算框架处理网络优化计算所需的大量计算，将传统方式下需要1天才能计算完毕的网络优化工作减少到数十分钟计，处于国内行业领先水平。目前还正在进行的前瞻性产品研发包括：1.智能硬件云平台研发。2.智能硬件产品研发（智能家居和车联网方向）。2016年，世界将进入移动互联网2.0时代；如果你想真正接触移动互联网在行业的应用，如果你想真正掌握人工智能，云计算，掌握大数据，掌握虚拟化，掌握Hadoop，如果你对未来十年内智能硬件和物联网的发展充满期待，如果你想跟上时代潮流，掌握时代的节拍，抓住机会和我们一起实现你的梦想吧。",高级人工智能(深度学习)算法工程师
6000-10000/月,广州市聚星源科技有限公司,1、理解公司软件开发平台及相关技术、行业业务；2、能独立处理和解决所负责的任务；3、根据开发进度和任务分配，完成相应模块软件的设计、开发、编程任务；4、进行程序单元、功能的测试，查出软件存在的缺陷并保证其质量；5、进行编程制项目文档和质量记录的工作；6、维护软件使之保持可用性和稳定性。岗位要求：1、2年C++工作经验。2、熟悉linux下多线程编程。3、熟悉mysql、oracle等任一种数据库。4、熟悉python。5、具有良好的学习能力、沟通理解能力，团队合作精神！,中级C++工程师
6000-7999/月,广东小白龙动漫文化股份有限公司,"动画特效设计师：岗位职责：制作动画中的界面、角色、场景所需光效岗位要求：1、 具备基本技能，了解动画运动规律和原理2、熟练掌握maya、nuke、ae，能使用Python，c++等语言者优先；3、 了解模拟爆炸、烟、火、流体、布料、毛发等相关特效内容；4、热爱动漫事业，积极向上，具备良好的沟通、团队合作精神与执行力,思维敏捷，认同公司文化。",特效师（动画）
8000-9999/月,广州博成网络科技有限公司,岗位职责：1.协助上级领导完成核心模块开发；2. 根据产品开发进度和任务分配，对相应的软件模块进行分析、设计、编码和单元测试；3. 根据要求参与编写详细设计、操作手册、用户手册、单元测试文档等。岗位要求：1.精通python编程，熟悉Linux脚本操作2.熟悉数据库编程（主要是MySQL）3.熟悉页面开发（主要是php）4.个逻辑分析能力、学习能力和创新能力强，具有团队合作精神，良好的语言表达及沟通能力；,软件开发工程师（中级）
8000-18000/月,香港联瑞知识产权集团,"1、负责网站应用的发布，包括环境配置、部署；2、负责网站应用的问题跟踪与管理，故障处理和隐患排查，并定期给出业务运维状况和容量报告；3、负责研究网站应用服务架构及其依赖的软硬件环境，负责跟踪各个子系统的内部运行状况，不断提高系统的健壮性和效率；4、负责推动网站产品的优化，包括网站产品的性能优化、网站产品的监控、网站性能容量数据的收集分析等；5、负责产品运维工作范畴与深度方面的文档建设；6、参与运维自动化工具和平台的整合、规划和开发。任职要求：1、大专及以上学历，计算机、通信、电子、自动化等相关专业；2、2年以上互联网行业运维经验，深入理解Linux系统，有系统调优经验；3、熟悉WEB相关技术，包括Apache，Jboss,Nginx，MySQL，Tomcat等应用的管理、配置和优化；4、精通和灵活运用两种以上的脚本语言，包括：Shell、Perl、PHP、Ruby、Python等；5、学习能力强，积极主动，对技术敏感而细致，善于思考，乐于发现，对解决具有挑战性问题充满激情；6、良好的沟通协调能力和强烈的责任心。",高级运维工程师
5000-8000/月,广州成宇信息科技有限公司,工作职责：1.基础系统架构、模块研发；2.公共基础库维护；3.海量数据处理；4.数据系统优化。工作要求：1.1年及以上的开发经验，有一定的抗压能力，能独立解决问题；2.熟练使用Golang/C/C++/Java/Python/PHP等一种或以上语言；3.熟悉基于TCP/UDP/HTTP协议的网络编程；4.熟悉Linux下编程和操作经验，且相关的各类技术情有独钟；5.熟练使用各种数据库存储，并且能够进行调；6.熟练使用各种团队协作工具（Wiki，Git，BugTracker）；7.有大规模、高性能互联网网站系统相关的设计和开发经验者优先。,后端研发工程师
4500-5999/月,广州南天电脑系统有限公司,"岗位描述：1） 负责自动化运维平台和模块工具开发实施。2）积极配合产品经理，不断完善产品，对于需求变更不排斥，能够准确评估影响，给出合理建议，善于发现问题解决问题。3） 参与项目前期调研和后期测试的任务，负责相关服务上线后的系统运维。4）适应出差，性格稳重、有耐心、较强的学习能力、思维敏捷。任职要求：1)  计算机相关专业,大学专科及以上学历；（接受优秀应届毕业生）2)  2年左右JAVA的开发，有开发运维系统的经验者优先。3）掌握常用的python web 框架, 包括不限于 django, tornado,flask,bottle 等；4）掌握操作linux、数据库（MYSQL、Oracle）, 了解常用的linux系统、数据库参数, 对常见的系统性能问题有迅速定位且初步调优的能力；5）有python编程经验；6）了解监控系统（如nagios,zabbix,cacti）、自动化的linux管理工具（如 fabric, puppet, saltstack）、虚拟化和云计算工具（如xen,kvm,libvirt,openstack）等者优先考虑；",自动化运维开发工程师
30000-40000/月,宁波甬城国际旅行社有限公司,"任职要求：1.具备以下专业背景：计算机、数学、统计学、电子、计量经济学等；2.熟悉sql server,mysql等主流数据库，有较强的报表开发能力，能够独立搭建后台数据库系统优先；3.本科五年或研究生三年以上数据分析工作经验，有在线OTA或机票相关工作经验者优先，熟悉主流数据挖掘算法，如：回归、聚类、关联规则等；4.熟悉R/SAS/python/matlab/等分析工具；5.有较强的学习能力和商业嗅觉，工作压力大，但报酬丰厚诚邀有志之士加盟，只求大牛，非诚勿扰。",数据挖掘/分析
10000-14999/月,上海骏蕤人才服务有限公司,公司介绍：工作室是很多个小伙伴的创业团队，目前已完成天使轮融资。我们专注于将心理健康与前沿科技结合，是一款基于生物反馈与情绪计算的移动心理减压应用。科技的态度是对世界的温度，而穿过无穷尽的数据，去关心自己，关心别人的心理健康依然是一件温暖的事情。相信精神消费领域的时代大潮必将涌来，用科技基因和更高效率来重构心世界一定是个很好玩也很难的挑战吧~职位描述：1、3年以上游戏开发经验，手游尤佳2、熟悉C++，熟悉Cocos2dx或unity引擎3、要求语言、数据结构、算法基础扎实4、对iOS和Android开发模式有一定了解，熟悉python加分岗位要求：希望的事......你是有热情的，热爱自己的产品如同热爱这个世界;你是有才华的，并且不愿意你的才华仅仅只是谋生的工具；你是具备团队精神的，守护自己的团队如同爱护自己的家庭。,COCOS2DX游戏开发工程师Xch3
10000-14999/月,广州诺特软件开发有限公司,"1.计算机相关专业，本科以上学历；2.熟悉网络开发技术及响应式互联网架构设计 (REST API 和 MVC)3.熟练掌握以下任一门语言: Ruby on Rails, .NET, JavaScript, Python, PHP；4.熟练使用至少一种源码管理工具：GIT, SVN, TFS；5.熟悉SQL 编程；6.良好的代码编程风格及能力；7.有良好的英语沟通和读写能力者优先考虑；8.有AWS / Heroku或 Linux 相关技术及编程经验；9.熟悉PostgreSQL数据库，熟悉Agile Development流程 (Scrum/XP)，熟悉HTML5、CSS3者优先考虑；10.3年相关开发经验，有丰富的程序设计和代码编程及能力者可应聘高级职位。",开发主管
3000-5000/月,广州市炎上广告有限公司,"岗位职责：1、负责数据提取需求的沟通工作，独自完成报表、深入分析等；2、根据实际业务情况，完成对多种数据源的深度诊断性组合分析工作，建立分析模型；3、对各类需求数据进行挖掘、统计建模分析，并提交有效的分析报告，为公司市场运营、内部运营支持等部门的决策工作提供数据支持；4、 根据现有数据，对绩效方案提出建议.任职资格：1、本科及以上学历，数学、统计及数据分析类相关专业毕业；2、良好的沟通能力，能熟练完成抽取数据、制作图表、完成数字展示等流程，良好的适应能力及学习能力；3、熟练使用Python，Google Analytics, Excel，SQL等之一；4、具有完善的逻辑思维导向，较强的数字分析能力；",数据分析
