salary,company,jobcont,jobname
4500-5999/月,浙江执御信息技术有限公司,"职位描述：1、负责搭建web服务系统环境架构的部署、维护、及优化；2、负责Linux操作系统的安装、配置，调试、监控维护、备份等日常工作，确保服务器的稳定运行；3、负责linux服务器系统维护工作, 保障公司linux系统服务器正常运行.以及针对服务器的监控与优化工作等；4、负责服务器及网络系统安装、部署、维护工作；5、负责代码库管理与维护；6、负责支撑平台24×7稳定运行，并进行前瞻性容量规划。职位要求：1、2年以上大型网站或IT系统运维经验；2、熟悉服务器虚拟化技术，了解虚拟机维护（能够熟练部署、应用：xen、VM等）；3、熟悉常见web系统架构，并具有较强故障排查和解决问题的能力；4、精通常用应用的部署和维护(Apache,Tomcat,nginx,php,mysql,SVN,git,redis,pptpd等)；5、熟练掌握perl、shell、python之一的脚本编程；6、熟悉监控原理，对系统、应用，数据库等有一定的监控配置维护经验(熟练应用：cacti、nagios、zabbix等监控软件)。",资深网管
8000-18000/月,香港联瑞知识产权集团,"1、负责网站应用的发布，包括环境配置、部署；2、负责网站应用的问题跟踪与管理，故障处理和隐患排查，并定期给出业务运维状况和容量报告；3、负责研究网站应用服务架构及其依赖的软硬件环境，负责跟踪各个子系统的内部运行状况，不断提高系统的健壮性和效率；4、负责推动网站产品的优化，包括网站产品的性能优化、网站产品的监控、网站性能容量数据的收集分析等；5、负责产品运维工作范畴与深度方面的文档建设；6、参与运维自动化工具和平台的整合、规划和开发。任职要求：1、大专及以上学历，计算机、通信、电子、自动化等相关专业；2、2年以上互联网行业运维经验，深入理解Linux系统，有系统调优经验；3、熟悉WEB相关技术，包括Apache，Jboss,Nginx，MySQL，Tomcat等应用的管理、配置和优化；4、精通和灵活运用两种以上的脚本语言，包括：Shell、Perl、PHP、Ruby、Python等；5、学习能力强，积极主动，对技术敏感而细致，善于思考，乐于发现，对解决具有挑战性问题充满激情；6、良好的沟通协调能力和强烈的责任心。",高级运维工程师
12000-18000/月,广州鑫燕网络科技有限公司,工作职责：1、负责公司产品开发；2、参与项目需求分析、设计与实现、相关单元测试等工作；3、在开发中发现存在的问题，积极参与功能与技术架构的改进。任职要求：1、全日制本科学历，2年以上PHP经验，独立完整开发项目，熟悉MVC模式开发，熟悉LNMP（Linux+Nginx+Mysql+PHP）运行架构，有Laravel 4使用经验者优先；2、熟练掌握相关web技术，具有ajax/javascript/cssml/xml/json等网页技术；3、熟悉Linux 系统，熟悉Mysql，并有一定的性能优化经验；对NOSQL 和其它非关系型数据库熟悉者优先；4、熟悉各种WEB缓存技术，并有实际的项目经验优先；5、有分布式、集群、高并发、高负载、高可用系统开发经验优先；6、熟悉JAVA/Python/Node.js开发者优先，对技术执着疯狂追求。7、态度积极乐观，良好沟通能力（重要）。PS：能力优秀者条件可适当放宽，比如大专学历5年左右，能力优秀者薪酬可以更高五天八小时工作制，9：00-18：00,PHP高级开发工程师
5000-15000/月,广东网金控股股份有限公司,职位描述：1、负责金融系统平台的日常运维、监控、故障排查；2、处理平台各类故障，对故障进行分析和快速恢复；3. 负责运维自动化项目实施、优化；3、高效高质的完成分派的任务。任职要求二选一即可任职要求一：1、精通Windows系统基本架构，对各类Windows环境下的排错有丰富的经验；2、熟悉Windows Server操作系统，精通微软AD、DNS、WSUS、SQL Server和IIS的部署、管理和维护；3、精通IIS和SQL Server的调优、安全加固和排错，包括WEB集群和SQL集群的部署和优化，负载均衡高并发群集技术；4、熟悉服务器的监控方法，能根据监控结果优化服务器；5、熟悉网络技术，有独立分析，判断和解决网络故障能力；6、熟悉VMware虚拟化系统，具备基本的管理和排错能力；7、懂linux系统的优先。任职要求二：1、计算机或相关类专业本科以上学历，熟悉计算机网络体系架构、Linux操作系统；2、熟悉Nginx/Apache/Tomcat/MySQL/Bind/Iptables等配置，具有独立搭建平台和管理维护的能力；3、熟悉shell、python、perl等一种以上脚本编程语言；4、熟悉监控系统nagios、cacti、zabbix等监控系统应用；5、熟悉saltstack、puppet、ansible使用者优先；6、熟悉vmware、OpenVZ等虚拟机相关技术者优先；7、热爱计算机软/硬件、系统、网络技术，具备较强的自我学习能力；8、有良好的表达、沟通、协作能力，具备团队精神和服务意识。,系统运维工程师
8000-9999/月,广州中康医药资讯有限公司,"工作内容：1、负责新建业务系统硬件配置选型，可行性需求分析。2、负责平台对应业务的维护，通过查看监控系统，处理报错与维护。3、负责linux服务器系统安装，安全体系建设，维护和优化。4、负责集群，mysql主从复制的规划和部署，及持续优化。5、配合开发、测试或其他相关同事的工作对接。6、负责域名解析故障的排查，确保网站对外的稳定访问。技能要求：1、熟悉centos系统操作和安全配置与策略，iptables防火墙设置，了解对系统调优。2、熟悉mysql主从备份,优化以及灾难恢复。3、对web网站体系统架构和优化熟悉者优先。4、熟悉Shell编程，善于使用脚本来完成日常系统运维工作,熟练掌握Shell、python等脚本语言的一种并有相关开发经验者优先。5、熟悉linux下apache、Nginx、mysql、php、memcache、tomcat等常见服务器环境架设,能够快速部署、配置及排错。6、熟悉LVS/HAproxy、Nginx等开源负载均衡软件部署和优化。7、熟悉cobbler、salt-stack、ansible等自动化运维管理工具的使用。8、熟悉zabbix或nagios监控系统的安装，配置，维护等工作。",高级运维工程师
8000-15000/月,广东优创空间网络科技有限公司,"1.   负责对公司各运营平台和系统，网络的日常维护工作；2.   管理多台服务器，解决网站服务的各种疑难杂症；3.   负责服务器系统及网络设备的设置、日常维护和优化、数据库备份，网络的安全监控 、系统和网络性能管理和优化；4.   负责公司统一通信平台的配置调优和日常维护工作；5.   分析和解决统一通信运营网络中遇到的各种问题；6.   负责部署相关应用平台，并提出平台的实施、运行报告；7.   负责相关故障、疑难问题排查处理，编制汇总故障、问题，定期提交汇总报告；8.   完成上级交办的其他事项。任职资格：1.   大学专科以上学历，通讯、计算机或相关专业；2.   有互联网行业经验,3年以上运维经验；3.   熟悉网络和VoIP通信协议（TCP/IP, SIP/IAX），熟悉VoIP体系架构，有相关开发部署经验，有软交换和网络通信软件开发经验者优先；4.   熟悉呼叫中心，IP PBX, 有相关开发经验者优先；5.   熟悉计算机网络和数据通信相关知识及电信通信协议；6.   有Nginx/Apache/Tomcat等应用服务器的安装及高并发优化经验；7.   熟悉服务器群集、负载均衡、磁盘阵列、VPN的网络搭建、设置和维护；8.   精通Linux操作系统，具备良好的 Shell/Perl/Python 其中一种编程能力，善于使用脚本来完成系统日常运维工作和提升工作效率；9. 工作认真细心，责任心强；能适应出差，能承受高强度工作压力。",急聘高级运维工程师（UC/VOIP/IPPBX和服务器）
10000-14999/月,广州市宝芝林大药房连锁有限公司,"一、岗位职责：1、负责/参与技术架构设计、重构、优化，根据业务规划及技术规划制定应用架构方案；2、负责/参与基础平台系统的架构设计和系统设计、详细设计；3、主导/参与技术难题攻关，持续提升核心系统在高并发、海量请求数下的高处理性能；4、核心功能的架构与代码模板编写，开发与维护系统公用核心模块；5、审核和评估相关方案与设计，以确保其符合架构规划，满足业务需求；6、分析系统瓶颈，解决各种疑难杂症，对系统进行性能调优；7、通过对团队的培训与指导，提高整个团队的技术水平。二、岗位要求：1、大专及以上学历，计算机相关专业；5年以上网页开发经验，3年以上架构设计经验；2、精通PHP和相关的主流框架，精通LAMP/LNMP系统架构设计，有大流量网站或WEB应用架构经验；3、熟悉常用版本的LINUX服务器的安装、配置和调优；熟悉常用开发环境如Apache、PHP、MySQL、Nginx、等的搭建、设置及调优；4、对大规模系统优化/负载均衡设计等有较深入的理解和经验；5、精通HTTP协议，精通JSON、AJAX技术和模板技术，熟悉HTML页面设计以及JS脚本编写；6、熟练掌握shell、Python、Perl其中至少一种脚本语言，熟悉C/C++更佳；7、能够快速定位和解决系统中的性能方面问题，熟悉常用的数据分析方法；8、工作认真负责，学习能力强，喜欢在技术领域内钻研；9、具备良好的团队合作精神，能融入多功能团队并与其他同事进行良好的沟通及合作。三、待遇：1、保底基本工资；2、团队销售业绩达成奖及超额奖金；3、公司提供面试食宿；4、年底双薪；5、完善的福利保障：广州社保（养老、医疗、工伤、失业、生育） 带薪假期（各类法定假期、年假、病假、产假、陪产假、婚假、丧假等）；6、公司提供岗位培训、晋升空间，为每位员工提供良好的职业发展机会；7、电商团队月休6天，每天8小时工作制。四、工作地点介绍：宝芝林、baozhilin文字及徽标是广州市宝芝林大药房连锁有限公司在中国和/或其它国家（地区）的商标或注册商标，受法律保护。 （原广州市宝芝林药业有限公司）广州市宝芝林大药房连锁有限公司成立于2000年10月，总部位于广州市越秀区执信南路10号。本着质量求信誉，信誉求发展的理念，公司和门店成为广州市最早实行和通过gsp认证的企业之一；立足于为健康服务，做百姓贴心人的服务理念。经过近十多年的发展，本公司已逐渐形成集医药产品连锁、药品批发的现代化医药企业，以新药、特药为特色，品种涵盖各个专科系列，其中包括抗肿瘤药、肝胆用药、心脑血管、糖尿病、风湿骨伤及其它类别的新药特药等，品种达5000多个。公司与国内外众多知名制药企业和医药批发公司建立了良好的长期合作关系，能够为顾客联系到前沿、稀缺的药物，及时采购到第一手货源，并提供新产品的研发及治疗信息。目前广州市宝芝林大药房连锁有限公司，拥有下属药店广州宝芝林大药房的16家分店，分别是：1、专科店（广州市越秀区先烈南路23号之a13铺）；2、先烈南店（越秀区先烈南路21号之五首层112房）；3、中山医药店（广州市越秀区中山二路52号首层[中山医科大学附属第一医院旁])；4、东川店(广州市越秀区东川路94号)；5、龟岗店(广州市越秀区龟岗大马路7号)；6、大德店(广州市越秀区大德路116号首层)；7、南医店(广州市白云区广州大道北同和中路白灰场北街1号云宝大厦一、二楼[南方医院门诊楼对面])；8、恒信店(广州市海珠区恒信路165-175号之一[广东省第二人民医院,即原解放军第一七七中心医院斜对面])；9、恒荔店(广州市荔湾区芳村大道中276号之二)；10、明心店(广州市荔湾区芳村大道中路224号之二)；11、中山三店(广州市天河区天河路633号天河酒店首层东侧)；12、桥东店(广州市番禺区桥东路77、79号之一)；13、广州宝芝林大药房连锁有限公司（广州市越秀区执信南路10号三楼）；14、佛山店（佛山市禅城区岭南大道第一人民医院对面--筹备中）；15、靖海店（广州市越秀区靖海路--筹备中）；16、淘金店（广州市越秀区淘金路--筹备中）。公司主要网站：http://www.360bzl.com/（广州宝芝林网上药店）http://www.gzbaozhilin.com（宝芝林大药房）；http://baozhilindyf.tmall.com/（宝芝林大药房旗舰店）",php架构师/php高级程序员
10000-14999/月,广东缺钱么网络科技有限公司,"职责：1.负责云服务器日常运维管理工作,对生产环境的服务器进行部署及优化；2.开发自动化运维脚本，配合监控系统，优化整个运维的流程；3.对数据库系统进行常规的维护、备份操作和日常管理；4.负责公司内部开发/测试服务器的运行管理工作；5.协助完成办公设备和网络维护及监控管理。要求：1．本科及以上学历，至少2年以上IT运维支持经验；2．具有系统管理等工作经验，熟悉Linux操作系统管理、维护和使用；3．具有阿里云/华为云服务器管理等工作经验，熟悉TCP/IP协议、负载均衡、DNS等技术；4．具有WEB服务管理的工作经验，熟悉Nginx/Apache/Tomcat等web服务和memcache/redis等缓存服务。5. 熟练使用shell和一种脚本语言(php/python/perl)编程，了解php/java等编程语言,分析日志定位问题。6. 熟悉SQL语言的操作，熟悉MYSQL，具有良好文档编写和文字表达能力；7. 优秀的学习钻研能力，良好的问题分析与解决能力，良好的危机管理和事件管理技能，以及跨职能团队的沟通协调能力,且抗压能力强；8. 熟悉IT服务管理流程，了解IT服务监控相关工具；9. 有7X24小时运维支持的服务意识。",系统运维工程师
7000-13000/月,聚力精彩（北京）信息技术有限公司,1、热爱程序开发2、理解业务逻辑，完成需求分析，概要设计，编码实现和维护工作；3、高效的学习能力，能跟上团队的技术更新；4、有强烈的责任心和良好的团队协作能力。热衷于程序开发，对程序开发有自己的见解；能在纯linux环境上进行开发；熟练地debug和分析代码；理解ORM；了解css，javascript；热衷于程序开发，对程序开发有自己的见解；能在纯linux环境上进行开发；熟练地debug和分析代码；理解ORM；了解css，javascript；活跃于开源社区（不限语言）拆解分析过开源框架（不限框架）熟练地使用Git、vim或emacs（能作为常用编辑器）熟悉phpunit、composer、nginx优化熟悉mysql查询优化、shell、perl、python其中一种熟悉java（有网络编程经验或多线程编程经验）、socket编程欢迎在简历上附上github地址和博客地址工作地址大学城广东工业大学创业基地C104,PHP后台开发HIF
6000-7999/月,新一代数据中心,"岗位职责：1、负责Linux平台部署、系统安装、自动化、配置和管理；2、Linux下常用脚本的编写；3、Linux系统安全加固；4、系统版本发布，运维手册更新，故障应急处理等，保证运行稳定；5、数据库日常管理、备份和优化；6、服务器软硬件、系统与应用平台管理，包括状态监控、性能分析及优化，问题跟踪；7、分析、解决系统中重大故障，性能瓶颈等相关问题；8、根据业务需求进行服务器整体规划、优化和部署；负责各类系统服务内部管理流程的建立、维护更新和落实执行。任职要求：1、有三年以上网站维护经验，有独立工作能力和主动学习分享新知识的精神；2、深入了解Linux系统及其远程维护，熟练使用grep、awk、sed、vi等系统工具，擅长shell,php，java, python等至少一种脚本语言编程；3.熟悉网站B/S开发结构，熟悉linux下常用的B/S结构软件apache、tomcat、squid、lvs,ngnix 等的使用与调优配置；4、熟悉linux平台的安全配置，如：iptables、selinux等；5、熟悉TCP/IP协议，熟悉linux中的iptables防火墙相关的配置，能够定位linux网络下普通的网络异常。6、熟悉mysql、oracle 配置、管理和优化，了解一般的sql语句优先；7、熟悉负载均衡,如Apache、Nginx的使用和优化技巧；有高并发的负载调优经验，带宽成本速度优化经验优先；8、有大型网站维护实战经验或在线视频网站经验者优先考虑。",运维工程师
