B2C网站策划主管（运营）,8001-10000,广州市天觅贸易有限公司,广州 - 白云区,...Python  三者中的一种；  6.善于提问，熟练使用Google解决大部分遇到的问题，具有较强的团队合作精神。        一、公司为您提供完善的个人发展平台，成功加入天觅贸易您将享受:  （1）薪酬福利：社保福利；完善的宽带薪酬及年终奖励制度，多通道职业发展路径， 根据绩...
直播运维工程师,10001-15000,北京盛世创富证券投资顾问有限公司广州分公司,广州,...python等脚本编程语言；  4、熟悉 nagios、cacti、zabbix多监控软件的使用；  5、掌握大数据，数据分析等理念并有相关的实践经验，安全规划、系统安全评估及安全防护手段，有安全体系建设方面的经验；  6、责任心强，积极主动，研究规划能力强，较强的安全风险意识，...
前端开发学科导师,20001-30000,北京传智播客教育科技有限公司,广州,...Python、PHP、NodeJS者优先； 9、良好的学习能力、沟通与表达能力，思路清晰，较强的动手能力与逻辑分析能力； 10、传智、黑马老学员优先。老学员，一年以上工作经验 11. 工作地点是以下4个城市之一：北京 上海 西安  长沙   福利：五险一金+饭补+年终奖+每年公司...
广告平台技术经理,15001-25000,优游互动有限公司,广州 - 天河区,...Python或C++开发经验  2.熟悉Web编程、网络编程（TCP/HTTP协议），具有linux下编程经验和操作经验  3.具备扎实的计算机理论基础，有良好的数据结构和算法基础  4.熟悉网络编程，具有linux下编程经验和操作经验  5.熟悉Mysql数据库，能根据业务需求...
运维工程师,6001-8000,广州骏伯网络科技股份有限公司,广州 - 天河区,...python、shell或dos等），对自动化工具的编写有一定认识；  4、 熟悉ngnix、apache等软件的配置和维护，熟悉常用应用服务器的搭建与部署，了解网络故障的排错方法；  5、 熟悉mysql、orcal等主流数据库；  6、 学习能力强，具备一定的英语阅读和理解能...
广告平台工程师（PHP+Linux）,6001-8000,优游互动有限公司,广州 - 天河区,岗位职责：    1.负责移动广告产品功能开发    2.参与移动广告平台的相关算法和模型的开发与优化    3.分析海量数据，为产品运营提供精准有效的数据分析    4.优化流程，打造自动化业务支撑系统    任职资格:    1.两年以上PHP、Python或C++开发经验   ...
数据研究员,8001-10000,北京浩瀚深度信息技术股份有限公司,广州,...python/R/JAVA一种，能够验证模型；  v  熟悉linux环境，熟练使用sql处理数据，能独立完成数据处理、清洗工作；  v  有海量数据处理和分析的经验，会pig、hive优先；  v  熟悉spark优先，有大数据建模经验优先；  v  有高度责任心和团队合作意识...
adobe_TD,10001-15000,深圳云创享网络有限公司,广州,...Python、不安与现状者优先   该岗位工作工作地点为深圳地区，投递前请考虑清楚！     你将加入这样一群人： 追求自由、平等，提倡简单、透明和分享； 对新事物充满好奇，对技术充满热情。  在这里您会得到什么： 1、7.5小时工作制+双休，谢绝加班； 2、年轻、宽松、弹性的工...
开发工程师,6001-8000,广州花蜜信息科技有限公司,广州,[职位描述]      负责APP相关模块的开发工作。    [任职要求]  1、本科及以上学历，计算机相关专业；  2、熟练掌握JAVA编程语言，精通常用数据结构与算法；  3、熟悉python、php或者ruby等至少一种动态语言，能熟练使用优先。  4、了解移动网络特点及相关协...
高级软件开发工程师,15001-20000,诚鑫网络科技有限公司,广州 - 天河区,"岗位职责：  1、带领团队进行嵌入式系统产品方案的开发    2、可使用Matlab,Python,Keil等进行方案的研究,算法研究    3、独立分析和解决技术难题  任职要求：  1.全日制电子/计算机等相关专业本科毕业，熟练使用C语言及汇编进行项目开发，6年以上消费类电子产品..."
高级数据分析专员,8001-10000,武汉手盟网络科技有限公司广州分公司,广州,...python/sql（数据库）等处理整合大量数据语言； 3、思维活跃，具有良好的团队合作精神和积极主动的沟通意识。
运维工程师,8001-10000,广州幻嘉网络科技有限公司,广州 - 天河区,...Python语言任意一种语言优化；  5、熟悉cacti、nagios、zabbix等监控软件配置和使用；  6、有运维平台开发经验，熟悉ansible、pupet自动化运维工具优先；  7、熟悉使用网络相关的工具，能够定位和解决常见的网络问题；  8、对系统安全，入侵检测等有一...
性能测试工程师,6001-8000,广东中配互联网科技有限公司,广州,...Python、Perl、Ruby等；  6、具有电商、手机APP、微信测试经验的优先。     岗位职责：  1、负责公司项目的性能分析及测试方案设计；  2、负责公司项目的性能测试、压力测试、接口测试、功能测试；  3、负责公司项目的性能测试结果分析，定位性能瓶颈及优化方案； ...
JAVA开发工程师,6001-8000,广州市信信发展有限公司,广州 - 天河区,...python）更佳；  8、熟悉阿里云的相关使用方法者优先 9、理解php语言或者javascript/css者优先考虑 10、善于协作与沟通，热爱技术，不断学习，富有激情，并具备良好的团队合作精神，责任心要强。
运维工程师,面议,国笔科技股份公司,广州,...Python等；  4. 能够熟练排查运维过程中出现的服务故障、系统故障、网络故障；  5. 高度的责任感，较强的故障分析及排除能力，善于在工作中学习，能够承受工作压力；  6. 优先考虑：精通LAMP架构，熟悉PHP，有相关大中型在线系统开发及维护经验；
系统维护工程师,6001-8000,广东地球村计算机系统股份有限公司,广州,...python等脚本编写经验或SQL 脚本编写经验；且具有1年以上维护或实施经验，有信行业运维经验者优先（此要求对应职责：1）  2.具备中间件的安装、配置经验，如：tomcat，weblogic，was等（此要求对应职责：1）  3.具备内部信息化系统业务运维经验，如OA系统、审...
运维工程师,面议,广州影游信息科技有限公司,广州 - 越秀区,...Python等脚本语言尤佳；  5、有较强的学习能力，热爱系统管理工作，有高度的责任心，喜欢钻研系统管理相关技术，能吃苦耐劳；  6、对系统安全，入侵检测等有一定了解，能根据服务器的情况制定相应安全措施。
运维工程师,面议,广州游爱网络技术有限公司,广州,...Python、Perl、Ruby、Java者优先； 5、有管理大规模服务器集群运维经验优先
系统运维工程师,面议,深圳普益众享信息科技有限公司,广州,...python至少一门脚本语言；   8、对系统安全，入侵检测，渗透测试等有一定了解，能根据平台的实际情况制定相应安全措施；有流量攻击实际应对经验者优先；   9、对容器虚拟化技术（如Docker）和分布式环境下的自动化部署有一定的了解；   10、有较强的学习能力和沟通能力，热爱...
PHP高级开发工程师,面议,唯品会(中国)有限公司 ,广州,...Python、Perl其中至少一种脚本语优先  6.   熟悉PHP主流框架及其工作原理如ZEND FRAMEWORK，YII等   7.   熟悉面向对象的分析和设计技术，了解单元测试，静态检查实现机制。有成功案例优先。 8.   熟悉NGINX，DB，CACHE，分布式解决方...
服务器开发工程师,面议,老K游戏（广州）,广州 - 天河区,...python等； 5.	为人诚实，性格开朗，善于沟通和协调，具备团队合作精神； 6.	热爱游戏，对游戏开发有兴趣者优先考虑。
软件测试工程师,6001-8000,广州存货贷科技股份有限公司,广州 - 天河区,...Python/Javascript/PHP/Ruby/等任何一门语言，有开发经验的优先。  9、具备优秀的问题分析能力、良好学习能力及沟通协调能力；  10、具备良好的团队合作精神，责任心强，工作积极主动，能够承受一定的工作压力。
web工程师-前端开发,15001-20000,广州虎笑网络科技有限公司,广州,...python等均可）。
金融数据助理,4001-6000,广东智天下资产管理有限公司广州分公司,广州,...Python、Perl等优先 5. 熟练使用如下一种工具者优先：Matlab、Stata、R、SAS、SPSS； 6. 通过证券从业资格考试、CFA者优先考虑； 7. 责任心强，认真踏实，具备团队协作精神，良好的沟通能力，能独立完成相关金融指标算法规划。      地址：天河区天...
架构师,20001-30000,海南智炫网络科技有限公司,广州,...Python、Perl等至少一种脚本语言。 10、了解 mysql/Oracle ，拥有数据库设计能力任职资格： 工作时间：前期单休，后期双休。
软件测试工程师（自动化测试）,4001-6000,中软国际有限公司,广州 - 天河区,...Python语言，有自动化测试经验者优先考虑。  4、了解sql及数据库操作，了解linux常用操作。  5、工作细心，耐心，有责任心，有较强的沟通能力和团队协作精神。
系统运维工程师,10001-15000,广东缺钱么网络科技有限公司 ,广州,"...python/perl)编程，了解php/java等编程语言,分析日志定位问题。  6. 熟悉SQL语言的操作，熟悉MYSQL，具有良好文档编写和文字表达能力；  7. 优秀的学习钻研能力，良好的问题分析与解决能力，良好的危机管理和事件管理技能，以及跨职能团队的沟通协调能力,且抗..."
数据挖掘工程师,8001-10000,广东天展网络科技有限公司,广州 - 天河区,...python、hadoop、java的优先  5、有一定的分布式数据处理经验；  6、逻辑分析能力强。     工作地点：天河区天河北路233号中信广场3601；  工作时间为周一至周五，提供午餐，薪资福利优厚；
